location_x,location_y,body_part,outcome,shot_type
93.3,35.6,Left Foot,Blocked,Free Kick
96.0,42.9,Right Foot,Off T,Open Play
114.0,45.8,Left Foot,Post,Open Play
111.5,55.1,Left Foot,Blocked,Open Play
103.4,51.2,Right Foot,Saved,Open Play
100.7,49.3,Left Foot,Saved,Open Play
94.9,46.7,Right Foot,Off T,Open Play
99.8,55.1,Left Foot,Saved,Open Play
93.1,34.6,Left Foot,Saved,Free Kick
108.1,48.1,Right Foot,Blocked,Open Play
112.1,35.7,Head,Goal,Open Play
112.5,30.9,Left Foot,Saved,Open Play
105.8,53.5,Left Foot,Blocked,Open Play
107.5,45.3,Right Foot,Blocked,Open Play
92.2,44.0,Left Foot,Blocked,Open Play
93.7,39.9,Right Foot,Blocked,Open Play
99.7,28.8,Right Foot,Off T,Open Play
105.5,44.9,Head,Blocked,Open Play
94.8,50.0,Left Foot,Off T,Free Kick
118.9,54.4,Right Foot,Off T,Open Play
96.0,32.8,Right Foot,Off T,Open Play
112.2,48.9,Head,Blocked,Open Play
110.2,32.4,Head,Off T,Open Play
103.3,44.9,Right Foot,Blocked,Open Play
102.8,47.4,Left Foot,Goal,Open Play
97.1,40.8,Left Foot,Saved,Open Play
101.9,49.9,Right Foot,Wayward,Open Play
92.9,42.9,Left Foot,Goal,Free Kick
109.1,31.1,Left Foot,Saved,Open Play
114.2,33.4,Head,Off T,Open Play
110.1,26.1,Right Foot,Goal,Open Play
94.0,53.0,Right Foot,Off T,Open Play
116.8,29.7,Head,Blocked,Open Play
115.9,49.5,Head,Saved,Open Play
114.6,35.8,Head,Off T,Open Play
112.1,37.1,Right Foot,Post,Open Play
115.1,46.1,Left Foot,Blocked,Open Play
103.6,29.1,Left Foot,Blocked,Open Play
112.0,38.9,Head,Saved,Open Play
113.1,47.1,Head,Post,Open Play
113.0,43.0,Head,Off T,Open Play
119.0,30.9,Left Foot,Goal,Open Play
99.1,50.1,Right Foot,Wayward,Open Play
88.2,32.7,Right Foot,Blocked,Free Kick
107.3,29.8,Right Foot,Blocked,Open Play
114.7,49.0,Right Foot,Saved,Open Play
101.1,50.9,Left Foot,Saved,Open Play
92.8,28.1,Left Foot,Goal,Free Kick
86.1,51.0,Left Foot,Saved,Open Play
115.1,35.1,Right Foot,Off T,Open Play
110.4,27.2,Right Foot,Saved,Open Play
112.7,41.3,Head,Saved,Open Play
116.8,28.9,Right Foot,Blocked,Open Play
110.1,39.9,Head,Off T,Open Play
99.1,50.1,Right Foot,Blocked,Open Play
106.5,36.9,Right Foot,Blocked,Open Play
102.1,32.1,Right Foot,Wayward,Open Play
111.1,51.8,Right Foot,Blocked,Open Play
109.2,55.2,Right Foot,Saved,Open Play
109.6,35.5,Head,Off T,Open Play
95.6,40.7,Left Foot,Off T,Open Play
91.1,56.1,Left Foot,Blocked,Open Play
94.7,50.2,Left Foot,Saved,Free Kick
93.6,56.4,Left Foot,Blocked,Free Kick
112.1,33.1,Left Foot,Post,Open Play
107.3,26.5,Left Foot,Blocked,Open Play
100.0,33.8,Left Foot,Blocked,Open Play
109.7,40.9,Right Foot,Goal,Open Play
114.2,25.6,Right Foot,Blocked,Open Play
112.5,37.6,Head,Saved,Open Play
90.9,57.6,Right Foot,Off T,Open Play
111.4,49.0,Right Foot,Goal,Open Play
103.6,38.4,Left Foot,Goal,Open Play
104.3,24.2,Left Foot,Saved,Open Play
91.4,49.3,Left Foot,Off T,Open Play
104.7,36.0,Left Foot,Blocked,Open Play
112.0,50.1,Right Foot,Saved,Open Play
89.5,34.7,Right Foot,Saved,Free Kick
115.3,37.7,Left Foot,Goal,Open Play
115.8,31.3,Right Foot,Blocked,Open Play
94.0,36.8,Right Foot,Saved,Open Play
91.7,45.5,Right Foot,Off T,Open Play
90.4,45.9,Right Foot,Wayward,Open Play
91.3,28.3,Right Foot,Off T,Open Play
95.3,48.2,Left Foot,Off T,Free Kick
94.9,40.7,Right Foot,Off T,Open Play
103.3,43.8,Right Foot,Off T,Open Play
105.9,50.2,Right Foot,Saved,Open Play
100.3,46.3,Right Foot,Off T,Open Play
101.2,36.0,Right Foot,Off T,Open Play
109.5,48.5,Right Foot,Saved,Open Play
100.0,42.7,Left Foot,Blocked,Open Play
109.4,37.4,Left Foot,Goal,Open Play
95.0,39.7,Right Foot,Saved,Open Play
94.8,29.1,Right Foot,Blocked,Open Play
115.3,37.2,Head,Off T,Open Play
102.3,37.0,Left Foot,Saved,Open Play
112.3,31.8,Left Foot,Goal,Open Play
95.7,50.3,Right Foot,Blocked,Open Play
100.8,41.4,Right Foot,Saved,Open Play
101.1,46.2,Right Foot,Off T,Open Play
109.3,55.3,Right Foot,Off T,Open Play
101.9,37.7,Left Foot,Goal,Open Play
110.1,45.2,Left Foot,Blocked,Open Play
99.0,45.8,Left Foot,Off T,Open Play
105.9,32.4,Left Foot,Off T,Open Play
107.9,56.5,Right Foot,Saved,Open Play
94.6,27.3,Left Foot,Blocked,Open Play
114.7,31.4,Head,Wayward,Open Play
107.5,25.8,Left Foot,Blocked,Open Play
102.3,45.9,Left Foot,Saved,Open Play
100.7,61.4,Left Foot,Saved,Open Play
91.8,28.0,Right Foot,Blocked,Open Play
99.1,28.4,Left Foot,Off T,Free Kick
103.7,48.2,Right Foot,Off T,Open Play
91.0,33.7,Left Foot,Wayward,Open Play
108.5,34.0,Left Foot,Saved,Open Play
117.0,31.0,Left Foot,Goal,Open Play
117.0,52.0,Right Foot,Saved,Open Play
114.4,35.3,Left Foot,Saved,Open Play
103.6,31.7,Right Foot,Blocked,Open Play
100.5,46.9,Right Foot,Goal,Open Play
106.8,35.1,Right Foot,Wayward,Open Play
102.6,43.9,Right Foot,Off T,Open Play
118.7,39.4,Right Foot,Goal,Open Play
90.9,45.2,Right Foot,Off T,Open Play
112.8,51.6,Right Foot,Off T,Open Play
106.1,31.1,Right Foot,Saved,Open Play
111.7,35.9,Head,Saved,Open Play
90.0,29.1,Left Foot,Blocked,Open Play
95.8,30.9,Left Foot,Off T,Free Kick
101.3,42.5,Left Foot,Saved,Open Play
107.4,29.0,Left Foot,Blocked,Open Play
92.9,40.1,Left Foot,Saved,Open Play
114.1,38.7,Head,Off T,Open Play
88.3,51.0,Left Foot,Off T,Free Kick
115.2,53.4,Right Foot,Blocked,Open Play
112.3,48.1,Right Foot,Wayward,Open Play
97.9,25.5,Right Foot,Blocked,Open Play
108.2,41.9,Head,Wayward,Open Play
107.2,29.2,Right Foot,Goal,Open Play
99.3,42.3,Left Foot,Blocked,Open Play
107.9,43.0,Head,Off T,Open Play
112.5,48.2,Head,Off T,Open Play
95.4,47.8,Left Foot,Off T,Open Play
110.5,30.6,Left Foot,Goal,Open Play
98.7,27.7,Right Foot,Blocked,Open Play
107.1,31.8,Left Foot,Off T,Open Play
111.9,40.9,Head,Saved,Open Play
117.0,28.1,Left Foot,Saved,Open Play
101.1,37.7,Left Foot,Saved,Open Play
115.0,52.2,Right Foot,Goal,Open Play
112.9,37.5,Head,Off T,Open Play
116.7,46.2,Right Foot,Off T,Open Play
111.0,32.5,Head,Saved,Open Play
115.9,24.0,Left Foot,Saved,Open Play
114.9,47.7,Right Foot,Wayward,Open Play
115.0,48.5,Right Foot,Off T,Open Play
94.3,35.9,Left Foot,Blocked,Open Play
110.5,44.1,Head,Off T,Open Play
105.7,32.5,Right Foot,Blocked,Open Play
107.1,28.2,Left Foot,Off T,Open Play
87.6,35.4,Right Foot,Saved,Free Kick
94.2,27.5,Right Foot,Blocked,Open Play
113.0,49.6,Right Foot,Off T,Open Play
106.3,34.2,Right Foot,Goal,Open Play
102.2,42.5,Right Foot,Off T,Open Play
104.0,49.3,Right Foot,Off T,Open Play
98.1,35.7,Right Foot,Off T,Open Play
114.9,41.5,Right Foot,Goal,Open Play
107.5,56.7,Right Foot,Off T,Open Play
91.5,35.0,Right Foot,Saved,Free Kick
104.1,61.6,Left Foot,Blocked,Open Play
86.8,45.5,Right Foot,Off T,Open Play
96.2,46.6,Left Foot,Saved,Open Play
117.0,36.0,Left Foot,Goal,Open Play
107.3,38.3,Right Foot,Saved,Open Play
107.5,33.7,Right Foot,Goal,Open Play
98.3,32.1,Left Foot,Off T,Open Play
107.2,34.4,Right Foot,Saved,Open Play
93.4,41.5,Right Foot,Blocked,Open Play
106.4,47.2,Left Foot,Goal,Open Play
113.3,45.7,Head,Off T,Open Play
105.3,32.9,Right Foot,Saved,Open Play
97.6,45.8,Left Foot,Off T,Open Play
98.2,34.3,Left Foot,Blocked,Free Kick
101.7,39.9,Head,Off T,Open Play
114.3,39.0,Head,Saved,Open Play
102.6,42.5,Left Foot,Blocked,Open Play
108.3,52.4,Right Foot,Saved,Open Play
112.3,43.7,Right Foot,Blocked,Open Play
90.1,41.5,Left Foot,Off T,Open Play
91.5,53.4,Left Foot,Off T,Free Kick
112.6,51.4,Right Foot,Saved,Open Play
104.0,33.2,Right Foot,Saved,Open Play
99.9,30.1,Left Foot,Blocked,Open Play
105.1,28.2,Left Foot,Blocked,Open Play
117.1,48.9,Right Foot,Wayward,Open Play
109.4,37.5,Head,Wayward,Open Play
104.2,41.8,Left Foot,Goal,Open Play
97.2,26.3,Right Foot,Blocked,Open Play
100.5,35.0,Right Foot,Off T,Open Play
110.1,41.8,Left Foot,Saved,Open Play
90.5,40.8,Right Foot,Saved,Open Play
93.8,40.1,Left Foot,Off T,Open Play
103.3,27.0,Left Foot,Blocked,Open Play
115.5,53.1,Right Foot,Blocked,Open Play
107.8,32.8,Right Foot,Saved,Open Play
97.2,52.3,Right Foot,Saved,Open Play
105.5,39.4,Right Foot,Saved,Open Play
115.3,29.9,Left Foot,Post,Open Play
94.8,43.6,Left Foot,Saved,Free Kick
101.8,48.0,Right Foot,Off T,Open Play
108.8,53.3,Right Foot,Blocked,Open Play
95.6,55.4,Left Foot,Off T,Open Play
95.1,26.0,Right Foot,Saved,Open Play
109.1,45.3,Right Foot,Goal,Open Play
