location_x,location_y,body_part,outcome,type,distance,degrees_subtended
91.8,50.2,Right Foot,Off T,Open Play,29.987997599039524,14.327695306704918
113.8,35.6,Head,Blocked,Open Play,7.602631123499287,49.87775589338637
115.4,36.6,Right Foot,Goal,Open Play,5.720139858430031,65.56543027756888
110.2,50.8,Right Foot,Goal,Open Play,14.58355237930731,21.73306864861785
110.4,23.9,Left Foot,Saved,Open Play,18.744865963777922,12.89837935515107
89.8,48.6,Right Foot,Saved,Open Play,31.400636936215168,13.986198642180824
103.2,58.6,Right Foot,Saved,Open Play,25.063918289046505,12.382063569971393
111.5,34.6,Head,Saved,Open Play,10.070253224224304,38.5253902496408
95.0,35.6,Left Foot,Blocked,Open Play,25.38424708357528,17.655694254022
96.4,39.7,Right Foot,Blocked,Open Play,23.60190670263739,19.236490398517702
116.9,51.9,Right Foot,Saved,Open Play,12.297154142320894,10.39282055718962
103.2,52.2,Left Foot,Post,Open Play,20.7624661348309,17.94159038321627
101.6,36.4,Right Foot,Saved,Open Play,18.748866632412753,23.688117632062667
117.4,34.1,Head,Blocked,Open Play,6.447480127925944,39.1267429095939
117.3,32.5,Right Foot,Saved,Open Play,7.971198153351854,24.434873761772423
114.0,35.0,Right Foot,Goal,Open Play,7.810249675906654,46.8476102659946
115.8,42.5,Left Foot,Goal,Open Play,4.887739763939978,76.78514512468578
112.8,27.9,Right Foot,Saved,Open Play,14.080127840328725,17.539108673485718
93.3,42.5,Right Foot,Off T,Open Play,26.81678578800972,16.89774215200512
117.6,49.4,Left Foot,Saved to Post,Open Play,9.701546268507922,13.808222394377909
90.9,30.6,Left Foot,Off T,Open Play,30.580549373744084,14.212549793076827
108.9,29.3,Left Foot,Goal,Open Play,15.417522498767429,21.828139495848557
112.3,28.0,Right Foot,Saved,Open Play,14.257980221616245,18.206123486542317
108.3,55.4,Right Foot,Goal,Open Play,19.340372281835737,14.650183788878161
110.7,44.9,Left Foot,Off T,Open Play,10.511898020814316,38.21341464116856
106.9,35.2,Right Foot,Saved,Open Play,13.951702405083036,30.39681890999423
96.6,33.2,Right Foot,Blocked,Open Play,24.368011818775866,17.951678169798374
113.9,37.5,Head,Off T,Open Play,6.592419889539799,60.63332830571349
103.4,35.2,Left Foot,Goal,Open Play,17.28004629623427,25.169871050060628
91.4,41.6,Right Foot,Off T,Open Play,28.64472028140613,15.87539038505364
92.5,58.3,Right Foot,Off T,Open Play,33.032408328791284,11.564478591144285
111.8,31.3,Left Foot,Goal,Open Play,11.9553335377981,27.33083847544045
101.0,47.2,Right Foot,Off T,Open Play,20.318464508914055,20.958134197988944
109.4,28.0,Right Foot,Wayward,Open Play,16.011246047700343,19.43305197834015
112.2,48.5,Head,Off T,Open Play,11.536463929644992,28.05419740121695
107.5,29.7,Left Foot,Goal,Open Play,16.196913286178944,22.094348964993397
99.4,50.9,Right Foot,Wayward,Open Play,23.306007809146546,17.359903525605226
112.8,46.7,Head,Off T,Open Play,9.835141076771603,35.50745531375982
113.1,35.4,Right Foot,Saved,Open Play,8.29276793356718,46.289295577011934
112.4,38.0,Head,Off T,Open Play,7.8587530817553946,53.03372602871383
105.4,34.7,Left Foot,Saved,Open Play,15.532224567009061,27.40831790446016
111.0,31.5,Head,Wayward,Open Play,12.379418403139947,27.681061568485255
109.0,53.1,Right Foot,Off T,Open Play,17.1058469536004,17.647815774785684
97.8,43.6,Left Foot,Saved,Open Play,22.48999777678958,19.93049160682953
112.1,25.9,Left Foot,Saved,Open Play,16.16230181626368,14.452202377831366
107.6,34.0,Right Foot,Saved,Open Play,13.775340286178055,29.72214938799287
115.9,45.7,Head,Saved,Open Play,7.021395872616782,44.56660600033144
115.8,41.8,Right Foot,Goal,Open Play,4.569463863518346,81.73625228456099
98.1,28.9,Right Foot,Saved,Open Play,24.552392958732156,16.62343297749418
104.8,39.4,Left Foot,Goal,Open Play,15.211837495845138,29.44607941904262
112.4,49.3,Left Foot,Off T,Open Play,12.010412149464308,25.364417195552967
97.6,47.7,Left Foot,Off T,Open Play,23.68649404196409,18.199684867010095
109.6,39.7,Head,Off T,Open Play,10.404326023342412,42.047206259655326
106.6,41.4,Right Foot,Blocked,Open Play,13.472935834479438,32.92934909370051
87.5,44.7,Left Foot,Blocked,Open Play,32.838087642248595,13.75239448654489
110.7,33.4,Head,Saved,Open Play,11.403946685248926,33.1182374046993
110.6,31.8,Right Foot,Off T,Open Play,12.473972903610145,28.31054489618842
105.2,32.2,Left Foot,Saved,Open Play,16.729614460590533,24.165239542172248
105.4,41.7,Left Foot,Goal,Open Play,14.698639392814556,30.278691753296737
106.1,25.6,Right Foot,Saved,Open Play,20.014244927051337,16.127443304629168
100.9,21.7,Left Foot,Off T,Open Play,26.45184303597766,12.598000120080343
97.6,29.9,Right Foot,Saved,Open Play,24.571731725704648,16.955476203762856
114.0,51.8,Right Foot,Blocked,Open Play,13.237824594698328,16.77447707332384
100.5,30.8,Right Foot,Blocked,Open Play,21.561307938063496,19.163560776628014
113.3,46.6,Right Foot,Goal,Open Play,9.404786015641188,36.49479747983403
107.7,36.5,Head,Saved,Open Play,12.788275880665068,33.70082022914961
104.7,36.8,Left Foot,Blocked,Open Play,15.631058825300348,28.194255651454156
110.9,30.1,Right Foot,Saved,Open Play,13.44693273575799,23.830758441992597
102.9,31.2,Right Foot,Goal,Open Play,19.23148460207895,21.13672580547619
93.2,33.2,Right Foot,Blocked,Open Play,27.64923145405673,15.984211982273852
117.5,46.6,Right Foot,Saved,Open Play,7.057619995437556,30.606053409520893
113.8,39.5,Head,Goal,Open Play,6.220128616033597,65.41781577921049
99.8,27.1,Right Foot,Blocked,Open Play,23.967686580060246,16.138982567732562
103.1,22.4,Right Foot,Blocked,Open Play,24.40020491717232,13.135304056203772
97.2,28.5,Right Foot,Blocked,Open Play,25.536052944807267,16.000343543171724
109.7,37.1,Left Foot,Blocked,Open Play,10.700467279516346,39.914107334399155
95.7,24.7,Right Foot,Saved,Open Play,28.715501040378868,13.518564874209243
95.3,33.0,Right Foot,Off T,Open Play,25.672748197261626,17.08043823035787
100.0,19.0,Right Foot,Off T,Open Play,29.0,10.975655172812582
107.1,38.1,Head,Wayward,Open Play,13.039171752837683,33.82377972083982
98.1,38.5,Right Foot,Goal,Open Play,21.951309755912067,20.610208664216117
95.8,42.0,Left Foot,Post,Open Play,24.282503989498284,18.649224917580312
100.4,41.6,Left Foot,Saved,Open Play,19.665197685250963,22.92645330775264
89.6,29.2,Right Foot,Off T,Open Play,32.261432082286746,13.350162468194366
97.0,59.1,Left Foot,Saved,Open Play,29.896655331324272,11.838516320230179
101.1,58.1,Right Foot,Blocked,Open Play,26.16906570743404,12.73871129911572
108.0,32.9,Head,Saved,Open Play,13.943098651304165,28.28409183164578
100.8,20.8,Right Foot,Saved,Open Play,27.152900397563428,12.02182637511187
113.7,45.2,Head,Goal,Open Play,8.168843247363728,44.81303727746096
104.6,37.0,Right Foot,Goal,Open Play,15.689486925964156,28.159243885845303
91.8,26.1,Right Foot,Saved,Open Play,31.43962467969362,13.061081440841766
105.5,39.9,Right Foot,Blocked,Open Play,14.500344823486095,30.843024301876707
104.9,32.0,Right Foot,Saved,Open Play,17.08830009099793,23.637326766488215
112.1,48.1,Right Foot,Saved,Open Play,11.314592347937248,29.431037899270393
106.1,54.1,Right Foot,Off T,Open Play,19.799494943053478,16.474473727725865
102.1,27.1,Left Foot,Saved,Open Play,22.063997824510412,16.917149589181495
90.8,50.2,Right Foot,Off T,Open Play,30.93024409861649,13.946206333973224
96.4,36.5,Right Foot,Off T,Open Play,23.858122306669475,18.843792276572987
90.5,32.5,Left Foot,Saved,Open Play,30.438462510448847,14.531179226480708
99.7,41.2,Right Foot,Off T,Open Play,20.335437049643165,22.22112586665189
