location_x,location_y,body_part,outcome,shot_type,distance,degrees_subtended
111.3,53.5,Right Foot,Off T,Open Play,12.881770064707725,16.049184560729714
114.1,33.1,Head,Off T,Open Play,6.574191965557445,35.39871777514906
101.0,42.2,Right Foot,Saved,Open Play,19.0,23.48419130127651
113.6,47.9,Left Foot,Off T,Open Play,7.494664769020697,30.37087869655737
109.0,51.0,Right Foot,Saved,Open Play,13.038404810405298,21.274969971706717
100.1,18.1,Right Foot,Saved,Open Play,26.766023238426737,10.49219303832594
90.1,38.1,Right Foot,Post,Open Play,29.900000000000006,15.179974359439914
115.7,50.2,Right Foot,Off T,Open Play,7.545197147855053,17.89598072183652
105.1,51.1,Right Foot,Blocked,Open Play,16.505150711217397,19.903696480649252
111.2,49.3,Right Foot,Off T,Open Play,10.272779565434076,25.449812508498997
109.3,39.2,Head,Saved,Open Play,10.700000000000003,40.81102062192732
115.0,33.0,Left Foot,Saved,Open Play,5.830951894845301,34.59228868750992
109.5,55.1,Right Foot,Off T,Open Play,15.279397893896213,14.609582725277836
108.0,46.0,Right Foot,Wayward,Open Play,12.165525060596439,30.343248884239546
108.2,53.2,Right Foot,Off T,Open Play,14.96262009141447,17.60591206802322
100.1,33.1,Left Foot,Off T,Open Play,20.110196418732468,20.419954478249483
110.1,25.1,Left Foot,Blocked,Open Play,14.724808997063429,14.601539235992634
112.9,38.0,Head,Off T,Open Play,7.099999999999994,55.93216867120264
101.8,38.6,Right Foot,Saved,Open Play,18.200000000000003,24.655898744081593
108.1,51.1,Left Foot,Blocked,Open Play,13.857128129594535,20.93714554167736
97.0,55.1,Left Foot,Blocked,Open Play,25.538402455909416,13.945059234874801
100.1,29.8,Right Foot,Off T,Open Play,20.843464203437975,18.20560336471046
103.2,39.0,Left Foot,Saved,Open Play,16.799999999999997,26.69867941230681
114.1,49.1,Right Foot,Saved,Open Play,7.798717843338101,24.913713612512044
104.0,52.0,Right Foot,Blocked,Open Play,17.88854381999832,18.434948822922017
104.0,45.0,Right Foot,Blocked,Open Play,16.0312195418814,25.781419167793924
104.1,58.1,Right Foot,Goal,Open Play,21.25135289810981,12.70023760320971
103.3,28.7,Right Foot,Goal,Open Play,18.225805880673704,18.883529960577462
105.1,33.1,Left Foot,Blocked,Open Play,15.17959156235767,25.173265471904177
112.9,33.4,Left Foot,Wayward,Open Play,7.5610845782863665,36.07278833873748
100.1,37.9,Left Foot,Off T,Open Play,19.900000000000006,22.49593175937491
104.3,32.2,Left Foot,Blocked,Open Play,16.153327830512204,23.322140579077356
117.9,30.7,Right Foot,Off T,Open Play,5.700877125495689,12.642152327889828
106.4,21.8,Left Foot,Off T,Open Play,19.662146373170955,12.271431272416839
109.5,39.8,Right Foot,Off T,Open Play,10.5,41.69684082111746
106.9,26.5,Left Foot,Blocked,Open Play,16.18208886392606,17.233244675005135
108.5,29.1,Right Foot,Goal,Open Play,13.41118935814419,21.374849804162718
101.3,30.4,Right Foot,Saved,Open Play,19.52050204272421,19.356242877761023
113.3,42.5,Left Foot,Saved,Open Play,6.700000000000003,56.75127084368522
107.9,49.3,Left Foot,Saved,Open Play,13.2098448136229,24.05066263482542
110.2,40.5,Right Foot,Goal,Open Play,9.799999999999997,44.31763877051688
99.0,49.6,Right Foot,Off T,Open Play,21.733844574764035,17.996445475026544
104.0,47.4,Right Foot,Off T,Open Play,16.35726138447387,23.472972859476464
112.7,49.8,Head,Off T,Open Play,9.323625904121203,23.653945169856932
100.8,26.6,Left Foot,Saved,Open Play,21.377558326431952,16.098843537507342
100.3,40.3,Left Foot,Off T,Open Play,19.700000000000003,22.950277968279536
107.7,30.3,Left Foot,Blocked,Open Play,13.556548233234,23.218484252776275
116.0,31.9,Head,Off T,Open Play,5.728001396647875,25.999904666890718
94.6,39.4,Left Foot,Saved,Open Play,25.400000000000006,17.889332964665527
104.1,52.9,Right Foot,Off T,Open Play,18.221415971323417,17.508429384258186
104.7,50.0,Right Foot,Off T,Open Play,16.434415109762803,21.046563120517877
103.4,33.0,Left Foot,Off T,Open Play,16.86890630716763,23.286382220674454
113.3,51.9,Right Foot,Blocked,Open Play,10.358571330062848,17.451557411051372
93.3,40.1,Left Foot,Blocked,Open Play,26.700000000000003,17.040313401934185
107.7,51.0,Right Foot,Goal,Open Play,14.152384958020324,21.003796788157075
111.3,45.1,Right Foot,Goal,Open Play,8.769264507357505,39.081271940141754
112.1,29.8,Left Foot,Saved,Open Play,10.042410069301098,22.785966605843722
112.6,37.4,Right Foot,Goal,Open Play,7.400000000000006,52.44263509960744
117.2,37.4,Head,Off T,Open Play,2.799999999999997,93.57633437499739
110.9,47.2,Head,Off T,Open Play,9.646242791885342,31.532001345112903
117.4,37.2,Left Foot,Goal,Open Play,2.5999999999999943,93.85063882391088
100.8,27.3,Left Foot,Blocked,Open Play,21.079136604709408,16.640005569474603
102.6,49.9,Left Foot,Blocked,Open Play,18.37307813078691,19.888835299950724
100.5,36.1,Right Foot,Blocked,Open Play,19.5,22.348079645053733
91.5,50.4,Left Foot,Blocked,Open Play,29.209758643302756,14.149325920221143
118.5,32.2,Head,Goal,Open Play,4.085339643163097,14.296469066097321
111.9,52.9,Left Foot,Goal,Open Play,12.034118164618457,16.697784220925584
97.3,44.2,Left Foot,Saved,Open Play,22.700881040171108,19.356620985143806
96.0,42.9,Right Foot,Off T,Open Play,24.0,18.664163333831755
114.0,45.8,Left Foot,Post,Open Play,6.2641839053463295,41.82391641642241
111.5,55.1,Left Foot,Blocked,Open Play,13.980700983856282,13.45333997772048
103.4,51.2,Right Foot,Saved,Open Play,18.09419796509367,19.031109514332012
100.7,49.3,Left Foot,Saved,Open Play,20.01449474755733,19.215922108140123
94.9,46.7,Right Foot,Off T,Open Play,25.244801445050022,16.948618010266536
99.8,55.1,Left Foot,Saved,Open Play,23.04886114323222,14.607707517855998
108.1,48.1,Right Foot,Blocked,Open Play,12.586500705120551,26.46668736114261
112.1,35.7,Head,Goal,Open Play,7.9056941504209535,44.2396790967921
112.5,30.9,Left Foot,Saved,Open Play,9.069729874698586,25.992337058197904
105.8,53.5,Left Foot,Blocked,Open Play,17.084788555905515,17.160057879559034
107.5,45.3,Right Foot,Blocked,Open Play,12.567418191498204,30.71183136818706
92.2,44.0,Left Foot,Blocked,Open Play,27.799999999999997,16.054219662775743
93.7,39.9,Right Foot,Blocked,Open Play,26.299999999999997,17.295585202407256
99.7,28.8,Right Foot,Off T,Open Play,21.539034333042878,17.296143684169788
105.5,44.9,Head,Blocked,Open Play,14.527904184706065,27.989582036564574
118.9,54.4,Right Foot,Off T,Open Play,10.458011283222062,2.616463244993733
96.0,32.8,Right Foot,Off T,Open Play,24.21239352067449,17.422250109508614
112.2,48.9,Head,Blocked,Open Play,9.211405973031475,26.703446510613848
110.2,32.4,Head,Off T,Open Play,10.440306508910549,29.63730055118007
103.3,44.9,Right Foot,Blocked,Open Play,16.72423391369542,24.96986429212332
102.8,47.4,Left Foot,Goal,Open Play,17.532826355154494,22.35429277411078
97.1,40.8,Left Foot,Saved,Open Play,22.900000000000006,19.793096974278413
101.9,49.9,Right Foot,Wayward,Open Play,19.037331745809333,19.46841812184396
109.1,31.1,Left Foot,Saved,Open Play,11.950732195141857,25.597600714572724
114.2,33.4,Head,Off T,Open Play,6.356099432828279,37.16831046583891
110.1,26.1,Right Foot,Goal,Open Play,14.000714267493644,16.054219662775672
94.0,53.0,Right Foot,Off T,Open Play,27.51363298439521,14.085019658907115
116.8,29.7,Head,Blocked,Open Play,7.066116330771807,14.314050397021761
115.9,49.5,Head,Saved,Open Play,6.860029154456995,19.809124850965
114.6,35.8,Head,Off T,Open Play,5.403702434442525,54.512537602278925
112.1,37.1,Right Foot,Post,Open Play,7.900000000000006,49.06146551283783
115.1,46.1,Left Foot,Blocked,Open Play,5.331041174104741,40.92113581628296
103.6,29.1,Left Foot,Blocked,Open Play,17.79241411388573,19.438261286996816
112.0,38.9,Head,Saved,Open Play,8.0,52.44309127322985
113.1,47.1,Head,Post,Open Play,7.564390259630983,33.940813319107534
113.0,43.0,Head,Off T,Open Play,7.0,53.13010235415599
119.0,30.9,Left Foot,Goal,Open Play,5.197114584074515,6.728465276529872
99.1,50.1,Right Foot,Wayward,Open Play,21.772000367444427,17.73449143516303
107.3,29.8,Right Foot,Blocked,Open Play,14.132586458253142,22.170506412267713
114.7,49.0,Right Foot,Saved,Open Play,7.286288492778747,24.48799314627609
101.1,50.9,Left Foot,Saved,Open Play,20.120139164528663,18.19473047385493
86.1,51.0,Left Foot,Saved,Open Play,34.615170084805314,12.201317984138747
115.1,35.1,Right Foot,Off T,Open Play,4.981967482832466,50.75678783976686
110.4,27.2,Right Foot,Saved,Open Play,13.023056476879761,17.744671625056906
112.7,41.3,Head,Saved,Open Play,7.299999999999997,56.27824734084703
116.8,28.9,Right Foot,Blocked,Open Play,7.787810988975018,12.296162014728933
110.1,39.9,Head,Off T,Open Play,9.900000000000006,43.99790582428045
99.1,50.1,Right Foot,Blocked,Open Play,21.772000367444427,17.73449143516303
106.5,36.9,Right Foot,Blocked,Open Play,13.5,31.555120541386284
102.1,32.1,Right Foot,Wayward,Open Play,18.3199344976995,21.324788766061264
111.1,51.8,Right Foot,Blocked,Open Play,11.834272263219233,19.376353953896142
109.2,55.2,Right Foot,Saved,Open Play,15.55892027102138,14.600619781198786
109.6,35.5,Head,Off T,Open Play,10.41201229350024,36.50690796077939
95.6,40.7,Left Foot,Off T,Open Play,24.400000000000006,18.605229098018214
91.1,56.1,Left Foot,Blocked,Open Play,31.33081550167503,12.10034461536624
112.1,33.1,Left Foot,Post,Open Play,8.415461959987704,33.90889184527137
107.3,26.5,Left Foot,Blocked,Open Play,15.860012610335469,17.233426041066163
100.0,33.8,Left Foot,Blocked,Open Play,20.120636172845032,20.744283101579477
109.7,40.9,Right Foot,Goal,Open Play,10.299999999999997,42.192012968028294
114.2,25.6,Right Foot,Blocked,Open Play,11.907980517283354,11.652313968526666
112.5,37.6,Head,Saved,Open Play,7.5,52.5178066700508
90.9,57.6,Right Foot,Off T,Open Play,32.121176815303635,11.536096944915007
111.4,49.0,Right Foot,Goal,Open Play,9.947864092356706,26.34031115484265
103.6,38.4,Left Foot,Goal,Open Play,16.400000000000006,27.178809094845914
104.3,24.2,Left Foot,Saved,Open Play,19.640010183296752,14.659826947147534
91.4,49.3,Left Foot,Off T,Open Play,29.08693864950383,14.441424177671903
104.7,36.0,Left Foot,Blocked,Open Play,15.299999999999997,27.60397993061913
112.0,50.1,Right Foot,Saved,Open Play,10.060318086422518,23.104948183626156
115.3,37.7,Left Foot,Goal,Open Play,4.700000000000003,73.16105794093063
115.8,31.3,Right Foot,Blocked,Open Play,6.303173803727771,23.485017948391384
94.0,36.8,Right Foot,Saved,Open Play,26.0,17.241029189078887
91.7,45.5,Right Foot,Off T,Open Play,28.339724769305715,15.5222983577278
90.4,45.9,Right Foot,Wayward,Open Play,29.66091704583659,14.820268269410278
91.3,28.3,Right Foot,Off T,Open Play,29.714979387507576,13.661988948324723
94.9,40.7,Right Foot,Off T,Open Play,25.099999999999994,18.095824997494823
103.3,43.8,Right Foot,Off T,Open Play,16.700000000000003,25.721817019580403
105.9,50.2,Right Foot,Saved,Open Play,15.402921800749358,21.466582402770488
100.3,46.3,Right Foot,Off T,Open Play,19.83380951809309,20.943279848258165
101.2,36.0,Right Foot,Off T,Open Play,18.799999999999997,23.05130091647304
109.5,48.5,Right Foot,Saved,Open Play,11.423659658795863,26.771150214462132
100.0,42.7,Left Foot,Blocked,Open Play,20.0,22.23984345062914
109.4,37.4,Left Foot,Goal,Open Play,10.599999999999994,39.43192737429178
95.0,39.7,Right Foot,Saved,Open Play,25.0,18.178044145469517
94.8,29.1,Right Foot,Blocked,Open Play,26.12757164376361,15.281726190642189
115.3,37.2,Head,Off T,Open Play,4.700000000000003,69.67140406619902
102.3,37.0,Left Foot,Saved,Open Play,17.700000000000003,24.811429460360927
112.3,31.8,Left Foot,Goal,Open Play,8.77097486029917,29.131568992219666
95.7,50.3,Right Foot,Blocked,Open Play,25.10338622576643,15.941392982040718
100.8,41.4,Right Foot,Saved,Open Play,19.200000000000003,23.42053024167465
101.1,46.2,Right Foot,Off T,Open Play,19.027611515899736,21.715491266430387
109.3,55.3,Right Foot,Off T,Open Play,15.562133529821674,14.433607396680504
101.9,37.7,Left Foot,Goal,Open Play,18.099999999999994,24.556915742387627
110.1,45.2,Left Foot,Blocked,Open Play,9.972462083156804,35.98986694777174
